Datetime,Date,Time,Conf,Dir,Ws10m,Wg10m,Ws50m,Wg50m,Ws100m,Wg100m,Hs,Hmax,Tp,Tz,Sw_H,Sw_T,Sw_Dir,Sw2_H,Sw2_T,Sw2_Dir,Prec,T2m,Vis,Dew_Point,Cloud_Cover
2025-02-03 01:00:00,03/02,01,9,15,19,19,23,20,23,1.1,1.8,5.4,3.6,1.1,4.6,16,0.4,5.2,20,0.0,2,10.0,-2,99,3
2025-02-04 07:00:00,04/02,07,19,7,9,9,11,10,11,0.9,1.4,6.2,3.8,0.2,2.3,17,0.8,5.5,23,0.3,1,3.0,-3,100,4
